userName,score,at,content
Pengguna Google,5,2026-06-08 05:10:15,sangat bagus aplikasi ini saya sangat suka
Pengguna Google,5,2026-06-08 05:06:44,"Fgz,"
Pengguna Google,5,2026-06-08 05:06:31,susah lelet
Pengguna Google,4,2026-06-08 05:03:40,you tube
Pengguna Google,5,2026-06-08 05:00:20,PP apa dia sungguh mempesona UU apa ...
Pengguna Google,1,2026-06-08 04:58:16,Ko h kkb gj id gu Chkv b Cgk n H go if vv
Pengguna Google,3,2026-06-08 04:57:43,Bagus
Pengguna Google,5,2026-06-08 04:55:39,Senang
Pengguna Google,5,2026-06-08 04:52:13,saya gak bisa buka yuotube
Pengguna Google,2,2026-06-08 04:50:51,banyak iklan 1 video bisa 7 iklan gw post di tahun 2026 8 juni
Pengguna Google,5,2026-06-08 04:48:21,bisa nonton apa aja
Pengguna Google,1,2026-06-08 04:47:53,Knp aku gx bisa instal yutub
Pengguna Google,2,2026-06-08 04:46:09,aku mau live udah verivikasi udah 50 subscriber tapi terganggu Mulu sampe sekarang kesel sumpah asli
Pengguna Google,5,2026-06-08 04:45:43,Ok
Pengguna Google,5,2026-06-08 04:45:24,Baik
Pengguna Google,5,2026-06-08 04:44:52,selalu memberikan pengetahuan dan wawasan plus hiburan
Pengguna Google,1,2026-06-08 04:33:47,selalu error dan tidak bisa di buka
Pengguna Google,5,2026-06-08 04:33:23,bagus bgt
Pengguna Google,4,2026-06-08 04:28:50,perbaiki terus
Pengguna Google,1,2026-06-08 04:25:55,Asem
Pengguna Google,1,2026-06-08 04:20:26,iklan nya semakin menjadi jadi aja ini youtube
Pengguna Google,5,2026-06-08 04:18:08,Teman dan bermain bersama teman semua
Pengguna Google,3,2026-06-08 04:16:03,Applikasi ini tidak bisa di hp saya
Pengguna Google,5,2026-06-08 04:12:49,youTube bagus sekali
Pengguna Google,5,2026-06-08 04:09:57,elor
Pengguna Google,4,2026-06-08 04:09:27,Mantap
Pengguna Google,1,2026-06-08 04:07:54,"iklan judol berkeliaran, development nya gimana ini, youtube kebanyakan dipake ama anak kecil, mohon diperbaiki"
Pengguna Google,5,2026-06-08 04:05:10,Opi Mainsepeda
Pengguna Google,5,2026-06-08 04:00:17,darmono
Pengguna Google,5,2026-06-08 03:59:00,sangat bagus
Pengguna Google,2,2026-06-08 03:51:34,"makin gak ngotak, udah iklan 2 kali iklan semenit gabisa di skip"
Pengguna Google,5,2026-06-08 03:49:58,keren
Pengguna Google,5,2026-06-08 03:44:11,mantap jiwa kesegaran
Pengguna Google,5,2026-06-08 03:44:00,Baik
Pengguna Google,1,2026-06-08 03:43:13,"hei pihak YouTube tolong iklannya dikurangi walaupun gratis jangan banyak-banyak iklannya, tolong dimengerti"
Pengguna Google,1,2026-06-08 03:41:47,knp aplikasi youtube saya tdk bisa dibuka ya
Pengguna Google,2,2026-06-08 03:37:05,sllu semngt
Pengguna Google,5,2026-06-08 03:36:55,Mantap
Pengguna Google,5,2026-06-08 03:36:01,"sekarang banyak iklan jeda ,"
Pengguna Google,5,2026-06-08 03:29:41,ini apliksinya bgs banget!
Pengguna Google,4,2026-06-08 03:29:21,Baik
Pengguna Google,5,2026-06-08 03:28:41,aplikasi yg sangat mudah untuk di pahami
Pengguna Google,1,2026-06-08 03:27:51,sangat bagus
Pengguna Google,5,2026-06-08 03:26:52,👍👍👍👍
Pengguna Google,1,2026-06-08 03:17:47,"makin hari makin gajelas, klo masalah banyak iklan oke lah ya karena saya pun g premium. Tapi 9 dari 10 iklan itu isinya IKLAN PINJOL SEMUA. KEMANA COBA OTAKNYA DIKIT² PINJOL DIKIT² PINJOL KYK G ADA HAL LAIN YG BISA DI IKLAN-KAN AJA. TOLONG DI SELEKSI DONG IKLAN MANA YG MAU DITAMPILIN, SECARA INI APK BANYAK PENGGUNA NYA. STOP SEBARLUASIN APK PINJOL"
Pengguna Google,5,2026-06-08 03:13:34,Menjadi yg terbaik
Pengguna Google,5,2026-06-08 03:10:07,pirman syah
Pengguna Google,1,2026-06-08 03:03:41,jelek Aneh lagi
Pengguna Google,5,2026-06-08 02:49:41,Sangat baik
Pengguna Google,2,2026-06-08 02:42:49,banyak lagu di cover Ai. jadi gak seru
Pengguna Google,5,2026-06-08 02:42:04,Mudah mudahan di youtube ada aplikasi google notes untuk pembelajaran
Pengguna Google,5,2026-06-08 02:33:44,good
Pengguna Google,4,2026-06-08 02:32:25,yaa kyk biasa
Pengguna Google,4,2026-06-08 02:27:55,kenapa YouTube saya selalu ada tanda YouTube tidak menanggapi anda dan disitu bilan tutup aplikasi
Pengguna Google,1,2026-06-08 02:16:14,widat
Pengguna Google,5,2026-06-08 02:14:35,bagus
Pengguna Google,5,2026-06-08 02:13:19,sangat bagus
Pengguna Google,5,2026-06-08 02:12:46,bagus
Pengguna Google,1,2026-06-08 02:11:27,lama lama apk ini bikin nggak nyaman. iklan udah di blokir malah tambah banyak. masa setiap iklan harus di blokir terus. mana pas lagi nonton video tiba tiba iklan. satu masalah paling mengganggu di YouTube itu ya IKLAN YANG NGGAK HABIS HABIS!!!!
Pengguna Google,5,2026-06-08 02:04:00,sangat bagus
Pengguna Google,5,2026-06-08 02:03:58,tidak kebuka youtube nya
Pengguna Google,5,2026-06-08 02:03:58,lanjut ke akun kumbang gogo
Pengguna Google,5,2026-06-08 02:01:55,pokokny bagus aplikasi nya
Pengguna Google,5,2026-06-08 01:54:43,Tontonan nya sangat bagus untuk anak anak
Pengguna Google,5,2026-06-08 01:53:36,Bagus
Pengguna Google,5,2026-06-08 01:51:14,terbaiik
Pengguna Google,5,2026-06-08 01:46:35,lumayan bagus
Pengguna Google,5,2026-06-08 01:46:10,good
Pengguna Google,4,2026-06-08 01:44:47,appikk
Pengguna Google,5,2026-06-08 01:43:49,Semakin oke
Pengguna Google,1,2026-06-08 01:40:55,"kenapa kalo aku ngonten pasti belum ditonton terus, padahal udah 1 hari 😡. dasar YouTube pilih kasih 😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡"
Pengguna Google,4,2026-06-08 01:40:39,"mengapa kalau saya buka YouTube selalu tidak bisa di geser walau saya online dan offline, mungkin orang lain juga sama dengan saya , jadi YouTube bagus cuma di saya lagg terus"
Pengguna Google,1,2026-06-08 01:31:33,santi miyati
Pengguna Google,5,2026-06-08 01:31:01,ok banget
Pengguna Google,1,2026-06-08 01:28:50,YouTube sya ga bisa di buka
Pengguna Google,5,2026-06-08 01:25:50,baik
Pengguna Google,5,2026-06-08 01:19:01,berguna sekali
Pengguna Google,1,2026-06-08 01:18:44,aplikasi ini tdk bs d pasang pd ho OPPO f1s
Pengguna Google,1,2026-06-08 01:16:31,"terdapat bug, belum habis video tiba tiba langsung ganti video lain. kalau nggak seperti itu tiba-tiba selesai videonya"
Pengguna Google,1,2026-06-08 01:14:36,tidak ada
Pengguna Google,4,2026-06-08 01:14:18,iklannya selalu sering muncul
Pengguna Google,5,2026-06-08 01:13:48,Toppp
Pengguna Google,5,2026-06-08 01:12:44,kenapa tdk bisa dibuka you tube saya
Pengguna Google,5,2026-06-08 01:08:09,mudah didapatkan
Pengguna Google,5,2026-06-08 01:05:30,Mntap
Pengguna Google,2,2026-06-08 00:58:51,"Aplikasi YouTube ini tidak kompetibel lagi dengan perangkat saya, harap hubungi pihak developer untuk info lebih lanjut."
Pengguna Google,1,2026-06-08 00:48:50,vagus aplikasinya tapi sayangnya selalu di update
Pengguna Google,3,2026-06-08 00:45:56,Kanapa stiap buk banyak iklan
Pengguna Google,5,2026-06-08 00:37:08,sangat puas
Pengguna Google,5,2026-06-08 00:28:45,bagus
Pengguna Google,1,2026-06-08 00:14:15,terlalu banyak iklan
Pengguna Google,5,2026-06-08 00:11:19,tiba2 gak bisa nampil kan apa-apa
Pengguna Google,5,2026-06-08 00:07:57,sangat memuas kan
Pengguna Google,5,2026-06-08 00:03:19,sangat membantu
Pengguna Google,5,2026-06-08 00:01:33,suka
Pengguna Google,5,2026-06-07 23:56:25,ok
Pengguna Google,1,2026-06-07 23:52:38,ini akun syh bos sgat membantu
Pengguna Google,5,2026-06-07 23:20:35,bagus banget
Pengguna Google,3,2026-06-07 23:15:39,tdk bisa buka video
Pengguna Google,2,2026-06-07 23:13:08,Knph ga bisa youtube
Pengguna Google,1,2026-06-07 23:11:43,Karena aku tidak tahu harus berbuat apa
Pengguna Google,5,2026-06-07 23:10:39,petualang
Pengguna Google,3,2026-06-07 23:04:48,Senang
Pengguna Google,5,2026-06-07 23:03:22,ok
Pengguna Google,5,2026-06-07 23:02:07,good
Pengguna Google,1,2026-06-07 22:55:40,kenapa youtube ga bisa dibuka
Pengguna Google,5,2026-06-07 22:54:45,Good job
Pengguna Google,5,2026-06-07 22:51:46,Bagus
Pengguna Google,5,2026-06-07 22:46:11,Sangat membantu
Pengguna Google,1,2026-06-07 22:43:14,harus abdet gak bisa tolong defeloper
Pengguna Google,1,2026-06-07 22:27:18,banyak iklan judol nya
Pengguna Google,5,2026-06-07 22:24:33,Yutuber nasional
Pengguna Google,5,2026-06-07 22:22:44,ok bmgt
Pengguna Google,5,2026-06-07 22:19:27,good
Pengguna Google,1,2026-06-07 22:19:18,min saya disini ada banyak kendala yaitu kenapa yt kalo pas upload video shorts itu mesti kena teguran hak cipta dan apa gunanya kalo kek gitu terus minimal di kurangi atau di hapus aja semua orang ingin upload video min jangan pelit gitu dikit-dikit hak cipta terus banyak sekali tu iklan yang nongol 3-5 menit bahkan lebih kalo begitu saya harap agar iklan di kurangi sedikit demi kenyamanan bersama dan saya harap yt agar di fix/ update demi kenyamanan bagi semua orang
Pengguna Google,2,2026-06-07 22:17:30,lumayan
Pengguna Google,1,2026-06-07 22:17:19,please hilangkan iklan yg berbau JUDOL ngeganggu banget sumpah
Pengguna Google,5,2026-06-07 22:15:33,tampilkan you tube
Pengguna Google,1,2026-06-07 22:09:33,kebanyakan iklan kere kere
Pengguna Google,1,2026-06-07 22:00:12,Tolong bantu akses ke youtube
Pengguna Google,5,2026-06-07 21:57:17,ga bisa di update YouTube nya?
Pengguna Google,5,2026-06-07 21:42:17,oke baik.
