content,sentiment
sangat bagus aplikasi ini saya sangat suka,1
"Fgz,",1
susah lelet,1
you tube,1
PP apa dia sungguh mempesona UU apa ...,1
Ko h kkb gj id gu Chkv b Cgk n H go if vv,0
Bagus,1
Senang,1
saya gak bisa buka yuotube,1
banyak iklan 1 video bisa 7 iklan gw post di tahun 2026 8 juni,0
bisa nonton apa aja,1
Knp aku gx bisa instal yutub,0
aku mau live udah verivikasi udah 50 subscriber tapi terganggu Mulu sampe sekarang kesel sumpah asli,0
Ok,1
Baik,1
selalu memberikan pengetahuan dan wawasan plus hiburan,1
selalu error dan tidak bisa di buka,0
bagus bgt,1
perbaiki terus,1
Asem,0
iklan nya semakin menjadi jadi aja ini youtube,0
Teman dan bermain bersama teman semua,1
Applikasi ini tidak bisa di hp saya,1
youTube bagus sekali,1
elor,1
Mantap,1
"iklan judol berkeliaran, development nya gimana ini, youtube kebanyakan dipake ama anak kecil, mohon diperbaiki",0
Opi Mainsepeda,1
darmono,1
sangat bagus,1
"makin gak ngotak, udah iklan 2 kali iklan semenit gabisa di skip",0
keren,1
mantap jiwa kesegaran,1
Baik,1
"hei pihak YouTube tolong iklannya dikurangi walaupun gratis jangan banyak-banyak iklannya, tolong dimengerti",0
knp aplikasi youtube saya tdk bisa dibuka ya,0
sllu semngt,0
Mantap,1
"sekarang banyak iklan jeda ,",1
ini apliksinya bgs banget!,1
Baik,1
aplikasi yg sangat mudah untuk di pahami,1
sangat bagus,0
👍👍👍👍,1
"makin hari makin gajelas, klo masalah banyak iklan oke lah ya karena saya pun g premium. Tapi 9 dari 10 iklan itu isinya IKLAN PINJOL SEMUA. KEMANA COBA OTAKNYA DIKIT² PINJOL DIKIT² PINJOL KYK G ADA HAL LAIN YG BISA DI IKLAN-KAN AJA. TOLONG DI SELEKSI DONG IKLAN MANA YG MAU DITAMPILIN, SECARA INI APK BANYAK PENGGUNA NYA. STOP SEBARLUASIN APK PINJOL",0
Menjadi yg terbaik,1
pirman syah,1
jelek Aneh lagi,0
Sangat baik,1
banyak lagu di cover Ai. jadi gak seru,0
Mudah mudahan di youtube ada aplikasi google notes untuk pembelajaran,1
good,1
yaa kyk biasa,1
kenapa YouTube saya selalu ada tanda YouTube tidak menanggapi anda dan disitu bilan tutup aplikasi,1
widat,0
bagus,1
sangat bagus,1
bagus,1
lama lama apk ini bikin nggak nyaman. iklan udah di blokir malah tambah banyak. masa setiap iklan harus di blokir terus. mana pas lagi nonton video tiba tiba iklan. satu masalah paling mengganggu di YouTube itu ya IKLAN YANG NGGAK HABIS HABIS!!!!,0
sangat bagus,1
tidak kebuka youtube nya,1
lanjut ke akun kumbang gogo,1
pokokny bagus aplikasi nya,1
Tontonan nya sangat bagus untuk anak anak,1
Bagus,1
terbaiik,1
lumayan bagus,1
good,1
appikk,1
Semakin oke,1
"kenapa kalo aku ngonten pasti belum ditonton terus, padahal udah 1 hari 😡. dasar YouTube pilih kasih 😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡",0
"mengapa kalau saya buka YouTube selalu tidak bisa di geser walau saya online dan offline, mungkin orang lain juga sama dengan saya , jadi YouTube bagus cuma di saya lagg terus",1
santi miyati,0
ok banget,1
YouTube sya ga bisa di buka,0
baik,1
berguna sekali,1
aplikasi ini tdk bs d pasang pd ho OPPO f1s,0
"terdapat bug, belum habis video tiba tiba langsung ganti video lain. kalau nggak seperti itu tiba-tiba selesai videonya",0
tidak ada,0
iklannya selalu sering muncul,1
Toppp,1
kenapa tdk bisa dibuka you tube saya,1
mudah didapatkan,1
Mntap,1
"Aplikasi YouTube ini tidak kompetibel lagi dengan perangkat saya, harap hubungi pihak developer untuk info lebih lanjut.",0
vagus aplikasinya tapi sayangnya selalu di update,0
Kanapa stiap buk banyak iklan,1
sangat puas,1
bagus,1
terlalu banyak iklan,0
tiba2 gak bisa nampil kan apa-apa,1
sangat memuas kan,1
sangat membantu,1
suka,1
ok,1
ini akun syh bos sgat membantu,0
bagus banget,1
tdk bisa buka video,1
Knph ga bisa youtube,0
Karena aku tidak tahu harus berbuat apa,0
petualang,1
Senang,1
ok,1
good,1
kenapa youtube ga bisa dibuka,0
Good job,1
Bagus,1
Sangat membantu,1
harus abdet gak bisa tolong defeloper,0
banyak iklan judol nya,0
Yutuber nasional,1
ok bmgt,1
good,1
min saya disini ada banyak kendala yaitu kenapa yt kalo pas upload video shorts itu mesti kena teguran hak cipta dan apa gunanya kalo kek gitu terus minimal di kurangi atau di hapus aja semua orang ingin upload video min jangan pelit gitu dikit-dikit hak cipta terus banyak sekali tu iklan yang nongol 3-5 menit bahkan lebih kalo begitu saya harap agar iklan di kurangi sedikit demi kenyamanan bersama dan saya harap yt agar di fix/ update demi kenyamanan bagi semua orang,0
lumayan,0
please hilangkan iklan yg berbau JUDOL ngeganggu banget sumpah,0
tampilkan you tube,1
